"fish.id","tray","tray.position","sample.mass.mg","c.content.mg","c.content.perc","d13C","n.content.mg","n.content.perc","d15N","c.n","duplicate","X","dissection.date","student.name","species","site","collection.date","weight.g","tl.mm","sl.mm","fl.mm","liver","stomach.contents","note","ground","packaged","ran.on.ea","month","season","month.year","east_vs_west","in_vs_out","distance","shoal.spot"
"ATB014","250421_BOEM_ATB-STA","C5",0.92,0.41,43.99,-18.59,0.13,13.67,11.54,3.22,"",NA,"11/15/24","EG","Atlantic Bumper","WO3",24-08-13,"44","162","128","139","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB015","250421_BOEM_ATB-STA","C6",0.97,0.44,45.34,-19.45,0.14,14.09,11.12,3.22,"",NA,"11/15/24","Dannette","Atlantic Bumper","WO3",24-08-13,"38.7","159","127","143","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB016","250421_BOEM_ATB-STA","C9",1.01,0.45,44.91,-19.08,0.14,14.01,11.35,3.21,"",NA,"11/15/24","EG","Atlantic Bumper","WO3",24-08-13,"36.5","160","125","136","Y","Y","","Y","Y","Y","August","Summer","August-24","West","Out","offshore","West.Out"
"ATB017","250421_BOEM_ATB-STA","C10",0.99,0.46,46.11,-18.96,0.14,14.48,11.6,3.18,"",NA,"11/15/24","EG","Atlantic Bumper","WI3",24-08-13,"40.6","164","130","141","Y","Y","","Y","Y","Y","August","Summer","August-24","West","In","offshore","West.In"
"ATB018","250421_BOEM_ATB-STA","C11",1.08,0.5,46.14,-18.99,0.16,14.48,11.43,3.19,"",NA,"11/18/24","EG","Atlantic Bumper","EI2",24-08-12,"36.8","161","126","134","Y","Y","","Y","Y","Y","August","Summer","August-24","East","In","midshore","East.In"
"ATB019","250421_BOEM_ATB-STA","C12",1.08,0.49,45.61,-18.44,0.15,13.48,11.41,3.38,"",NA,"11/18/24","EG","Atlantic Bumper","EI2",24-08-12,"56","181","141","152","Y","Y","","Y","Y","Y","August","Summer","August-24","East","In","midshore","East.In"
"ATB020","250421_BOEM_ATB-STA","D1",1.01,0.45,44.65,-17.94,0.14,13.96,11.16,3.2,"",NA,"11/18/24","EG","Atlantic Bumper","EI2",24-08-12,"85.1","215","160","180","Y","Y","","Y","Y","Y","August","Summer","August-24","East","In","midshore","East.In"
"ATB021","250421_BOEM_ATB-STA","D5",1.04,0.48,46.06,-18.71,0.15,14.3,10.93,3.22,"",NA,"11/19/24","Lindsey","Atlantic Bumper","WI2",24-08-13,"40","163","132","145","Y","Y","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"ATB022","250421_BOEM_ATB-STA","D6",0.99,0.45,45.29,-19.01,0.14,14.18,12.56,3.19,"",NA,"11/19/24","Dannette","Atlantic Bumper","WO2",24-11-08,"14.7","113","90","101","Y","Y","","Y","Y","Y","November","Autumn","November-24","West","Out","midshore","West.Out"
"ATB023","250421_BOEM_ATB-STA","D7",0.93,0.43,46.42,-18.97,0.14,14.58,11.77,3.18,"",NA,"12/11/24","Sam","Atlantic Bumper","WI1",24-08-13,"46.9","172","122","146","Y","mush 0.2","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"ATB024","250421_BOEM_ATB-STA","D8",0.99,0.45,45.62,-18.24,0.14,14.25,11.8,3.2,"",NA,"12/18/24","Sam","Atlantic Bumper","EI2",24-11-01,"37.5","160","129","142","Y","shrimp larvae","","Y","Y","Y","November","Autumn","November-24","East","In","midshore","East.In"
"ATB025","250421_BOEM_ATB-STA","D9",0.99,0.45,45.43,-19.3,0.14,14.25,12.48,3.19,"Y",NA,"12/18/24","Sam","Atlantic Bumper","EI2",24-11-01,"30.2","141","118","129","Y","shrimp ","","Y","Y","Y","November","Autumn","November-24","East","In","midshore","East.In"
"CRO001","250410_BOEM_1b","B8",0.63,0.28,45.08,-18.55,0.09,14.09,12.45,3.2,"",NA,"12/16/24","Sam","Croaker","WO2",24-08-13,"23.4","161","131",NA,"Y","shell/detritus, small crab","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO002","250410_BOEM_1b","B9",0.78,0.35,44.26,-20.1,0.11,13.92,11.47,3.18,"",NA,"1/29/25","Cole","Croaker","WI1",24-08-13,"46.9","164","129",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO003","250410_BOEM_1b","C1",0.76,0.35,45.78,-19.4,0.11,14.45,9.74,3.17,"",NA,"1/29/25","Sam","Croaker","WI1",24-08-13,"39.9","160","126",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO004","250410_BOEM_1b","C2",0.74,0.33,44.24,-17.83,0.1,13.92,12.75,3.18,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"49.3","166","132",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO005","250410_BOEM_1b","C3",0.67,0.29,43.95,-18.61,0.09,13.78,12.37,3.19,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"45.9","160","128",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO006","250410_BOEM_1b","C4",0.73,0.34,46.25,-18.36,0.11,14.39,12.6,3.21,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"38.7","151","121",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO007","250410_BOEM_1b","C5",0.65,0.29,44.63,-18.34,0.09,14.12,14.01,3.16,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"45.8","164","130",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO008","250410_BOEM_1b","C6",0.66,0.3,45.7,-18.76,0.09,14.31,12.26,3.19,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"46.2","166","133",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO009","250410_BOEM_1b","C9",0.73,0.33,45.49,-19.09,0.1,14.3,12.38,3.18,"",NA,"1/29/25","Lindsey","Croaker","WI1",24-08-13,"37.4","156","126",NA,"Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","inshore","West.In"
"CRO010","250411_BOEM_CRO_1","A9",0.99,0.46,46.37,-20.12,0.15,14.62,11.51,3.17,"Y",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"37.3","152","120","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO011","250411_BOEM_CRO_1","A11",1,0.44,44.4,-18.02,0.14,14.06,12.22,3.16,"",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"85.7","202","157","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO012","250411_BOEM_CRO_1","A12",0.92,0.41,44.15,-18.1,0.13,14.02,10.81,3.15,"",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"63.9","188","145","-","Y","shrimp larva","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO013","250411_BOEM_CRO_1","B1",1.03,0.45,44.21,-17.77,0.14,13.84,11.16,3.19,"",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"106","216","169","-","Y","mush/sea star?","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO014","250411_BOEM_CRO_1","B2",1.01,0.46,45.27,-18.62,0.14,14.18,11.93,3.19,"",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"50.3","163","129","-","Y","mush/shrimp larva","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO015","250411_BOEM_CRO_1","B5",1.05,0.47,44.65,-19.57,0.15,14.16,11.62,3.15,"",NA,"1/31/25","Cole","Croaker","WI2",24-08-13,"67.5","185","147","-","Y","sea star?","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO016","250411_BOEM_CRO_1","B6",1.07,0.47,44.08,-17.7,0.15,13.88,11.16,3.18,"",NA,"2/3/25","Cole","Croaker","WI2",24-08-13,"97.4","210","165","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO017","250411_BOEM_CRO_1","B7",0.97,0.43,44.79,-17.9,0.14,14.08,12.19,3.18,"",NA,"2/3/25","Cole","Croaker","WI2",24-08-13,"68","185","143","-","Y","mush/sea star?","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO018","250411_BOEM_CRO_1","B8",0.97,0.44,45.82,-18.19,0.14,14.44,11.54,3.17,"",NA,"2/3/25","Cole","Croaker","WI2",24-08-13,"79.8","200","159","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO019","250411_BOEM_CRO_1","B9",1.05,0.5,47.09,-17.91,0.16,14.87,12,3.17,"",NA,"2/3/25","EG","Croaker","WI2",24-08-13,"71.1","185","145","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","In","midshore","West.In"
"CRO020","250411_BOEM_CRO_1","C1",1,0.45,45.49,-18.89,0.14,14.37,12.63,3.16,"",NA,"2/3/25","EG","Croaker","EI1",24-08-12,"54.4","177","140","-","Y","-","","Y","Y","Y","August","Summer","August-24","East","In","inshore","East.In"
"CRO021","250411_BOEM_CRO_1","C2",1.04,0.46,44.45,-20.31,0.15,14.06,13.5,3.16,"",NA,"2/3/25","Dannette","Croaker","EI1",24-08-12,"46.7","164","130","-","Y","-","","Y","Y","Y","August","Summer","August-24","East","In","inshore","East.In"
"CRO022","250411_BOEM_CRO_1","C3",1.06,0.48,45.31,-18.12,0.15,14.31,11.29,3.17,"",NA,"2/3/25","EG","Croaker","WO2",24-08-13,"83.5","197","160","-","Y","shrimp larvae","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO023","250411_BOEM_CRO_1","C4",1.03,0.47,45.91,-17.99,0.15,14.46,10.92,3.17,"",NA,"2/3/25","Dannette","Croaker","WO2",24-08-13,"102.3","210","170","-","Y","-","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO024","250411_BOEM_CRO_1","C5",0.99,0.45,45.68,-18.26,0.14,14.44,12.07,3.16,"",NA,"2/3/25","Dannette","Croaker","WO2",24-08-13,"55.6","175","142","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO025","250411_BOEM_CRO_1","C6",0.98,0.44,44.39,-17.74,0.14,13.92,11.69,3.19,"",NA,"2/3/25","EG","Croaker","WO2",24-08-13,"69.8","181","140","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO026","250411_BOEM_CRO_1","C9",1.01,0.47,46.75,-19.07,0.15,14.83,11.64,3.15,"",NA,"2/3/25","Dannette","Croaker","WO2",24-08-13,"54.9","175","140","-","Y","mush","","Y","Y","Y","August","Summer","August-24","West","Out","midshore","West.Out"
"CRO027","250411_BOEM_CRO_1","C10",1.02,0.47,45.6,-21.05,0.15,14.36,15.12,3.18,"",NA,"2/3/25","EG","Croaker","EI2",24-05-22,"51.9","178","140","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO028","250411_BOEM_CRO_1","C11",1.02,0.48,46.56,-19.4,0.15,14.37,12,3.24,"",NA,"2/3/25","Dannette","Croaker","EI2",24-05-22,"53.1","170","135","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO029","250411_BOEM_CRO_1","C12",1.07,0.48,45.31,-20.83,0.15,14.3,11.53,3.17,"",NA,"2/3/25","EG","Croaker","EI2",24-05-22,"67.4","175","140","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO030","250411_BOEM_CRO_1","D1",0.99,0.46,46.09,-18.07,0.14,14.52,10.73,3.17,"",NA,"2/3/25","Dannette","Croaker","EI2",24-05-22,"61.7","183","146","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO031","250411_BOEM_CRO_1","D5",1,0.45,45.59,-18.84,0.14,14.36,12.49,3.17,"",NA,"2/3/25","EG","Croaker","EI2",24-05-22,"72.4","190","150","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO032","250411_BOEM_CRO_1","D6",1.02,0.46,45.08,-20.91,0.14,13.82,14.91,3.26,"",NA,"2/3/25","Dannette","Croaker","EI2",24-05-22,"60.2","177","140","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO033","250411_BOEM_CRO_1","D7",1,0.43,43.65,-19.49,0.14,13.69,12.01,3.19,"",NA,"2/3/25","EG","Croaker","EI2",24-05-22,"49.2","174","140","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO034","250411_BOEM_CRO_1","D8",1,0.45,45.63,-19.6,0.14,14.24,14.87,3.2,"",NA,"2/4/25","Cole","Croaker","EI2",24-05-22,"51.6","171","137","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO035","250411_BOEM_CRO_1","D9",1.08,0.5,46.01,-18.93,0.16,14.39,11.96,3.2,"Y",NA,"2/4/25","Cole","Croaker","EI2",24-05-22,"79.5","196","154","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO036","250421_BOEM_CRO_2","A9",0.99,0.45,45.78,-19.92,0.14,14.47,10.63,3.16,"Y",NA,"2/4/25","Cole","Croaker","EI2",24-05-22,"51.4","178","140","-","-","mush","","Y","Y","Y","May","Spring","May-24","East","In","midshore","East.In"
"CRO037","250421_BOEM_CRO_2","A11",1.06,0.47,44.39,-19.68,0.15,14,13.82,3.17,"",NA,"2/4/25","Cole","Croaker","EI1",24-05-22,"34.7","152","119","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO038","250421_BOEM_CRO_2","A12",1.05,0.48,45.45,-17.4,0.15,14.36,12,3.17,"",NA,"2/4/25","Cole","Croaker","EI1",24-05-22,"90.1","211","164","-","Y","-","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO039","250421_BOEM_CRO_2","B1",0.96,0.44,46,-19.94,0.14,14.48,11.9,3.18,"",NA,"2/4/25","Cole","Croaker","EI1",24-05-22,"48.8","170","30","-","Y","shrimp","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO040","250421_BOEM_CRO_2","B2",0.96,0.43,45.31,-21.76,0.14,14.32,11.21,3.16,"",NA,"2/5/25","Cole","Croaker","EI1",24-05-22,"31.7","152","118","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO041","250421_BOEM_CRO_2","B5",0.93,0.43,45.8,-21.72,0.13,14.36,11.46,3.19,"",NA,"2/5/25","Cole","Croaker","EI1",24-05-22,"32","153","116","-","Y","mush & crab (found in lower intestine)","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO042","250421_BOEM_CRO_2","B6",1.01,0.46,45.78,-20.33,0.14,14.41,12.04,3.18,"",NA,"2/5/25","Cole","Croaker","EI1",24-05-22,"36.6","157","124","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO043","250421_BOEM_CRO_2","B7",1.04,0.47,45.58,-20.78,0.15,14.45,12.24,3.15,"",NA,"2/5/25","Cole","Croaker","EI1",24-05-22,"43.6","168","129","-","Y","worm?","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO044","250421_BOEM_CRO_2","B8",1.02,0.46,45.53,-22.48,0.15,14.29,11.21,3.19,"",NA,"2/5/25","Lindsey","Croaker","EI1",24-05-22,"25.6","139","107","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO045","250421_BOEM_CRO_2","B9",1.01,0.46,45.71,-21.78,0.15,14.35,8.61,3.19,"",NA,"2/5/25","Lindsey","Croaker","EI1",24-05-22,"31.4","157","121","-","Y","mush","","Y","Y","Y","May","Spring","May-24","East","In","inshore","East.In"
"CRO046","250421_BOEM_CRO_2","C1",1.04,0.48,45.87,-20.44,0.15,14.15,12.63,3.24,"",NA,"2/5/25","Lindsey","Croaker","WO2",24-05-23,"61.1","185","145","-","Y","mush","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO047","250421_BOEM_CRO_2","C2",1.03,0.47,45.14,-20.78,0.15,14.16,12.23,3.19,"",NA,"2/5/25","Lindsey","Croaker","WO2",24-05-23,"57.3","175","136","-","Y","mush","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO048","250421_BOEM_CRO_2","C3",0.94,0.44,46.57,-19.08,0.13,14.35,11.76,3.25,"",NA,"2/5/25","Lindsey","Croaker","WO2",24-05-23,"77.6","195","155","-","Y","mush","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO049","250421_BOEM_CRO_2","C4",1,0.46,46.11,-18.64,0.15,14.63,11.36,3.15,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"55.6","178","140","-","Y","mush/slit?","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO050","250421_BOEM_CRO_2","C5",1.01,0.46,46.27,-20.07,0.15,14.61,12.54,3.17,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"46.1","171","134","-","Y","shrimp larva?","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO051","250421_BOEM_CRO_2","C6",0.94,0.44,46.69,-21.43,0.14,14.61,11.34,3.2,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"76.6","193","153","-","Y","-","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO052","250421_BOEM_CRO_2","C9",0.97,0.45,46.65,-20.14,0.14,14.54,12.69,3.21,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"56","179","141","-","Y","-","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO053","250421_BOEM_CRO_2","C10",1.04,0.49,46.66,-19.55,0.15,14.62,12.35,3.19,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"39.1","164","125","-","Y","shrimp larva?","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO054","250421_BOEM_CRO_2","C11",1,0.46,46.04,-19.88,0.14,14.44,14.73,3.19,"",NA,"2/6/25","Cole","Croaker","WO2",24-05-23,"47.3","169","132","-","Y","mush","","Y","Y","Y","May","Spring","May-24","West","Out","midshore","West.Out"
"CRO055","250421_BOEM_CRO_2","C12",0.98,0.45,45.95,-20.98,0.14,14.42,11.91,3.19,"",NA,"2/7/25","Cole","Croaker","WI1",24-11-08,"43.3","163","125","-","Y","crab?","","Y","Y","Y","November","Autumn","November-24","West","In","inshore","West.In"
"CRO056","250421_BOEM_CRO_2","D1",1.03,0.48,46.21,-20.22,0.15,14.59,12.32,3.17,"",NA,"2/7/25","Cole","Croaker","WI1",24-11-08,"79.4","198","156","-","Y","Shrimp & something purple (organic)","","Y","Y","Y","November","Autumn","November-24","West","In","inshore","West.In"
"CRO057","250421_BOEM_CRO_2","D5",1.04,0.48,46.12,-21.19,0.15,14.3,12.5,3.22,"",NA,"2/7/25","Cole","Croaker","WI1",24-11-08,"33.8","153","119","-","Y","shrimp/sea star/fish mush(bones)/worm?","","Y","Y","Y","November","Autumn","November-24","West","In","inshore","West.In"
"CRO058","250421_BOEM_CRO_2","D6",1.03,0.48,46.41,-21.21,0.15,14.55,12.23,3.19,"",NA,"2/7/25","Cole","Croaker","WI1",24-11-08,"57.1","175","138","-","Y","worm?","","Y","Y","Y","November","Autumn","November-24","West","In","inshore","West.In"
"CRO059","250421_BOEM_CRO_2","D7",1,0.47,46.47,-24.1,0.15,14.46,12.9,3.21,"",NA,"2/7/25","Cole","Croaker","WI1",24-11-08,"54.8","180","138","-","Y","mush","","Y","Y","Y","November","Autumn","November-24","West","In","inshore","West.In"
"CRO060","250421_BOEM_CRO_2","D8",1.01,0.46,46.09,-18.44,0.14,14.42,11.31,3.2,"",NA,"2/10/25","Cole","Croaker","WO2",24-11-08,"64","180","138","-","Y","Shrimp & mush","","Y","Y","Y","November","Autumn","November-24","West","Out","midshore","West.Out"
"CRO061","250421_BOEM_CRO_2","D9",1.03,0.48,46.39,-18.41,0.15,14.48,11.43,3.2,"Y",NA,"2/10/25","Cole","Croaker","WO2",24-11-08,"65","181","141","-","Y","Shrimp tail & mush","","Y","Y","Y","November","Autumn","November-24","West","Out","midshore","West.Out"
"CRO062","250423_BOEM_CRO_3","A9",0.65,0.3,46.62,-19.68,0.09,14.46,12.75,3.22,"Y",NA,"2/10/25","Cole","Croaker","WO2",24-11-08,"63.8","175","134","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","midshore","West.Out"
"CRO063","250423_BOEM_CRO_3","A11",0.7,0.32,46.14,-21.06,0.1,14.39,12.44,3.21,"",NA,"2/10/25","Cole","Croaker","WO2",24-11-08,"50.4","172","132","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","midshore","West.Out"
"CRO064","250423_BOEM_CRO_3","A12",0.66,0.3,45.77,-17.61,0.09,14.27,12.63,3.21,"",NA,"2/10/25","EG","Croaker","WO1",24-11-08,"81.9","196","155","-","Y","mush","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO065","250423_BOEM_CRO_3","B1",0.64,0.3,46.49,-17.58,0.09,14.63,13.15,3.18,"",NA,"2/10/25","Dannette","Croaker","WO1",24-11-08,"79.5","192","150","-","Y","mush","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO066","250423_BOEM_CRO_3","B2",0.68,0.34,49.67,-20.04,0.1,15.42,12.67,3.22,"",NA,"2/10/25","EG","Croaker","WO1",24-11-08,"63.9","178","135","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO067","250423_BOEM_CRO_3","B5",0.72,0.33,46.36,-18.24,0.11,14.62,11.79,3.17,"",NA,"2/10/25","Dannette","Croaker","WO1",24-11-08,"66","183","141","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO068","250423_BOEM_CRO_3","B6",0.67,0.3,44.56,-17.83,0.09,13.88,11.76,3.21,"",NA,"2/10/25","EG","Croaker","WO1",24-11-08,"69.7","183","147","-","Y","Partial larvae","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO069","250423_BOEM_CRO_3","B7",0.73,0.33,45.29,-18.7,0.1,14.25,12.06,3.18,"",NA,"2/10/25","Dannette","Croaker","WO1",24-11-08,"55.8","175","145","-","Y","mush","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO070","250423_BOEM_CRO_3","B8",0.63,0.28,44.84,-19.24,0.09,14.11,10.02,3.18,"",NA,"2/10/25","EG","Croaker","WO1",24-11-08,"65.8","179","145","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO071","250423_BOEM_CRO_3","B9",0.77,0.35,45.32,-17.66,0.11,14.02,12.19,3.23,"",NA,"2/10/25","Dannette","Croaker","WO1",24-11-08,"65.1","177","133","-","Y","mush","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
"CRO072","250423_BOEM_CRO_3","C1",0.72,0.33,45.57,-18.49,0.1,13.87,12.13,3.28,"",NA,"2/10/25","EG","Croaker","WO1",24-11-08,"95","194","155","-","Y","-","","Y","Y","Y","November","Autumn","November-24","West","Out","inshore","West.Out"
